fiberNo,circleindex,center_x(column),center_y(row),radius,pixelvalue,pixelnum
1.0,1.0,277.0,137.0,10.0,75466.0,317.0
2.0,2.0,308.0,139.0,10.0,72752.0,317.0
3.0,3.0,322.0,167.0,10.0,74736.0,317.0
4.0,4.0,349.0,185.0,11.0,90224.0,377.0
5.0,5.0,366.0,212.0,10.0,78152.0,317.0
6.0,6.0,252.0,236.0,10.0,77918.0,317.0
7.0,7.0,285.0,237.0,11.0,90265.0,377.0
8.0,8.0,317.0,237.0,11.0,91830.0,377.0
9.0,9.0,349.0,238.0,11.0,91807.0,377.0
10.0,10.0,382.0,239.0,11.0,89957.0,377.0
11.0,11.0,408.0,256.0,10.0,75780.0,317.0
12.0,12.0,349.0,270.0,11.0,90860.0,377.0
13.0,13.0,381.0,271.0,11.0,88988.0,377.0
14.0,14.0,400.0,297.0,11.0,86252.0,377.0
15.0,15.0,342.0,301.0,11.0,92072.0,377.0
16.0,16.0,311.0,307.0,10.0,69745.0,317.0
17.0,17.0,372.0,311.0,11.0,89421.0,377.0
18.0,18.0,346.0,332.0,10.0,75554.0,317.0
19.0,19.0,440.0,334.0,9.0,61626.0,253.0
20.0,20.0,409.0,340.0,10.0,71623.0,317.0
21.0,21.0,378.0,344.0,10.0,74081.0,317.0
22.0,22.0,466.0,351.0,9.0,60852.0,253.0
23.0,23.0,324.0,355.0,10.0,76394.0,317.0
24.0,24.0,391.0,376.0,10.0,74583.0,317.0
25.0,25.0,306.0,380.0,10.0,70272.0,317.0
