fiberNo,circleindex,center_x(column),center_y(row),radius,pixelvalue,pixelnum
1.0,1.0,277.0,137.0,10.0,75164.0,317.0
2.0,2.0,308.0,139.0,9.0,62770.0,253.0
3.0,3.0,322.0,167.0,10.0,74800.0,317.0
4.0,4.0,350.0,184.0,11.0,89315.0,377.0
5.0,5.0,366.0,212.0,10.0,78276.0,317.0
6.0,6.0,252.0,236.0,10.0,77973.0,317.0
7.0,7.0,285.0,237.0,11.0,90330.0,377.0
8.0,8.0,317.0,237.0,11.0,91716.0,377.0
9.0,9.0,349.0,238.0,11.0,91855.0,377.0
10.0,10.0,381.0,239.0,11.0,90142.0,377.0
11.0,11.0,408.0,256.0,10.0,75935.0,317.0
12.0,12.0,349.0,270.0,11.0,90886.0,377.0
13.0,13.0,381.0,271.0,11.0,89014.0,377.0
14.0,14.0,400.0,297.0,11.0,86269.0,377.0
15.0,15.0,342.0,301.0,11.0,91989.0,377.0
16.0,16.0,311.0,307.0,10.0,69671.0,317.0
17.0,17.0,372.0,311.0,11.0,89248.0,377.0
18.0,18.0,346.0,332.0,10.0,75555.0,317.0
19.0,19.0,440.0,334.0,9.0,61781.0,253.0
20.0,20.0,409.0,340.0,10.0,71708.0,317.0
21.0,21.0,378.0,344.0,10.0,74068.0,317.0
22.0,22.0,466.0,352.0,9.0,59684.0,253.0
23.0,23.0,324.0,355.0,10.0,76235.0,317.0
24.0,24.0,391.0,376.0,10.0,74549.0,317.0
25.0,25.0,306.0,381.0,10.0,69907.0,317.0
