fiberNo,circleindex,center_x(column),center_y(row),radius,pixelvalue,pixelnum
1.0,1.0,277.0,132.0,9.0,61260.0,253.0
2.0,2.0,308.0,134.0,9.0,59847.0,253.0
3.0,3.0,323.0,162.0,10.0,70756.0,317.0
4.0,4.0,349.0,180.0,10.0,75509.0,317.0
5.0,5.0,366.0,207.0,10.0,74733.0,317.0
6.0,6.0,253.0,230.0,10.0,74103.0,317.0
7.0,7.0,285.0,232.0,10.0,75618.0,317.0
8.0,8.0,317.0,232.0,10.0,77162.0,317.0
9.0,9.0,350.0,233.0,11.0,86637.0,377.0
10.0,10.0,381.0,234.0,10.0,76590.0,317.0
11.0,11.0,408.0,251.0,9.0,62305.0,253.0
12.0,12.0,349.0,265.0,10.0,76626.0,317.0
13.0,13.0,381.0,266.0,10.0,75620.0,317.0
14.0,14.0,400.0,292.0,10.0,73038.0,317.0
15.0,15.0,342.0,295.0,11.0,87479.0,377.0
16.0,16.0,310.0,302.0,9.0,57073.0,253.0
17.0,17.0,371.0,306.0,10.0,75791.0,317.0
18.0,18.0,346.0,327.0,10.0,71149.0,317.0
19.0,19.0,440.0,329.0,9.0,59590.0,253.0
20.0,20.0,408.0,336.0,9.0,59782.0,253.0
21.0,21.0,377.0,338.0,9.0,62129.0,253.0
22.0,22.0,324.0,349.0,10.0,72291.0,317.0
23.0,23.0,465.0,348.0,9.0,57093.0,253.0
24.0,24.0,391.0,370.0,10.0,70756.0,317.0
25.0,25.0,305.0,375.0,9.0,58734.0,253.0
